Huvudområde;Område;Delområde;Underkonto;År;Region;Värde
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Västra Götaland;104,7552722
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Örebro;159,924269
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Östergötland;128,5161061
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Riket exkl gotland;130,2778752
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Gotland;174,7610143
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2009;Riket;130,5503788
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Blekinge;208,8404785
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Dalarna;118,3914643
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Gävleborg;175,7634499
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Halland;123,5458322
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Jämtland Härjedalen;188,2375228
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Jönköping;98,06866825
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Kalmar;154,1518224
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Kronoberg;146,7869958
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Norrbotten;197,0966457
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Skåne;96,35020176
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Stockholm;91,11915586
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Sörmland;140,357098
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Uppsala;119,0894421
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Värmland;139,059155
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Västerbotten;205,1788373
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Västernorrland;114,4976816
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Västmanland;154,2990077
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Västra Götaland;110,6488211
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Örebro;156,6570317
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Östergötland;128,4790593
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Riket exkl gotland;121,411675
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Gotland;174,6145384
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2010;Riket;121,7352747
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Blekinge;228,1358879
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Dalarna;122,9873628
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Gävleborg;173,5559338
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Halland;122,6286275
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Jämtland Härjedalen;193,8336804
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Jönköping;109,5011483
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Kalmar;154,4467802
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Kronoberg;152,7180565
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Norrbotten;209,2176467
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Skåne;127,174398
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Stockholm;90,8450647
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Sörmland;165,0994449
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Uppsala;124,0291764
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Värmland;155,6853514
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Västerbotten;229,9098461
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Västernorrland;115,6284198
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Västmanland;161,2541641
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Västra Götaland;120,0688543
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Örebro;100,0951799
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Östergötland;136,0459317
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Riket exkl gotland;129,099457
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Gotland;191,9452781
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2011;Riket;129,4792549
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Blekinge;194,9906444
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Dalarna;115,7093526
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Gävleborg;175,6814887
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Halland;154,5462915
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Jämtland Härjedalen;191,4881816
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Jönköping;108,3434577
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Kalmar;162,707452
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Kronoberg;123,7310839
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Norrbotten;209,1402325
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Skåne;101,906677
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Stockholm;85,18828814
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Sörmland;141,9611754
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Uppsala;125,7394503
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Värmland;161,1249451
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Västerbotten;214,4364127
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Västernorrland;123,9766759
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Västmanland;128,7935556
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Västra Götaland;138,0864221
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Örebro;98,42359764
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Östergötland;140,2794939
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Riket exkl gotland;125,8742926
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Gotland;174,6999528
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2012;Riket;126,1667644
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Blekinge;176,7513109
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Dalarna;113,9358714
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Gävleborg;180,5950282
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Halland;150,8929735
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Jämtland Härjedalen;204,5452748
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Jönköping;107,8377072
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Kalmar;158,2048453
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Kronoberg;134,1127188
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Norrbotten;216,4883978
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Skåne;103,5579706
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Stockholm;62,22255509
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Sörmland;169,3272664
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Uppsala;147,6202743
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Värmland;157,0403375
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Västerbotten;229,4034744
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Västernorrland;136,6887461
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Västmanland;135,1069661
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Västra Götaland;167,1900657
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Örebro;102,3844146
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Östergötland;141,9213974
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Riket exkl gotland;128,3707891
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Gotland;174,9444551
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2013;Riket;128,6468114
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Blekinge;177,0921852
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Dalarna;136,9651814
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Gävleborg;200,0064288
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Halland;122,3182528
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Jämtland Härjedalen;204,0082072
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Jönköping;113,0476207
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Kalmar;157,0471736
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Kronoberg;194,894463
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Norrbotten;228,0118566
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Skåne;89,37798509
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Stockholm;92,22062889
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Sörmland;270,7844912
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Uppsala;160,4851236
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Värmland;167,4608924
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Västerbotten;199,6020765
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Västernorrland;137,0026454
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Västmanland;145,202768
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Västra Götaland;147,1533298
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Örebro;104,2963734
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Östergötland;144,038181
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Riket exkl gotland;135,0451595
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Gotland;184,6301633
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2014;Riket;135,3364169
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Blekinge;179,1965594
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Dalarna;145,8929359
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Gävleborg;223,5509111
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Halland;117,5409169
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Jämtland Härjedalen;219,8216304
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Jönköping;123,6211214
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Kalmar;164,0868566
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Kronoberg;198,5692563
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Norrbotten;228,2437643
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Skåne;111,228135
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Stockholm;93,6615341
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Sörmland;158,6115497
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Uppsala;149,6481856
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Värmland;159,4757597
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Västerbotten;220,2158115
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Västernorrland;155,8034744
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Västmanland;140,0051461
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Västra Götaland;122,5221116
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Örebro;99,65224802
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Östergötland;152,582344
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Riket exkl gotland;132,9436105
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Gotland;174,2433483
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2015;Riket;133,1842184
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2016;Blekinge;176,7085508
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2016;Dalarna;140,5822213
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2016;Gävleborg;210,8325778
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2016;Halland;131,11356
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2016;Jämtland Härjedalen;209,834231
Hälso- och sjukvård;Politisk verksamhet;Politisk verks. avs hälso- och sjukvård;Nettokostnad exkl läkemedel;2016;Jönköping;141,749472
