Datum och tid för uttag;Register/källa;Titel;Diagramrubrik;Indikator-Id;Mätperiod;Länskod;Enhetskod;Enhetstyp;Enhetsnamn;Ålder;Kön/Totalt;Måttenhet;Värde;Täljare;Nämnare/antal fall;KI-Låg;KI-Hög;Täckningsgrad i %;Bortfall i %;Önskat värde;Högsta målnivå;Utgivare målnivå;Område
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;4;4;Län;Sörmland;Alla;Totalt;%;59,4;577;972;56,2;62,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;4;4;Län;Sörmland;Alla;Totalt;%;65,9;635;963;62,9;69;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;4;4;Län;Sörmland;Alla;Totalt;%;59,8;568;950;56,6;63;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;4;4;Län;Sörmland;Alla;Totalt;%;64,5;618;958;61,4;67,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;4;4;Län;Sörmland;Alla;Totalt;%;63,4;602;949;60,3;66,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;5;5;Län;Östergötland;Alla;Totalt;%;62,4;613;982;59,3;65,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;5;5;Län;Östergötland;Alla;Totalt;%;63,5;618;973;60,4;66,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;5;5;Län;Östergötland;Alla;Totalt;%;61;590;967;57,9;64,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;5;5;Län;Östergötland;Alla;Totalt;%;65,1;620;952;62;68,2;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;5;5;Län;Östergötland;Alla;Totalt;%;63,8;611;957;60,8;66,9;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;6;6;Län;Jönköpings län;Alla;Totalt;%;74,8;741;991;72;77,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;6;6;Län;Jönköpings län;Alla;Totalt;%;72,9;709;972;70,1;75,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;6;6;Län;Jönköpings län;Alla;Totalt;%;68,1;662;972;65,1;71,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;6;6;Län;Jönköpings län;Alla;Totalt;%;72,1;692;960;69,2;75;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;6;6;Län;Jönköpings län;Alla;Totalt;%;62,5;612;962;59,4;65,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;7;7;Län;Kronoberg;Alla;Totalt;%;68,7;671;977;65,7;71,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;7;7;Län;Kronoberg;Alla;Totalt;%;70,2;692;986;67,3;73,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;7;7;Län;Kronoberg;Alla;Totalt;%;69,8;681;975;66,9;72,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;7;7;Län;Kronoberg;Alla;Totalt;%;70;676;966;67;72,9;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;7;7;Län;Kronoberg;Alla;Totalt;%;70,3;681;969;67,4;73,2;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;8;8;Län;Kalmar län;Alla;Totalt;%;69,8;688;986;66,9;72,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;8;8;Län;Kalmar län;Alla;Totalt;%;70,9;683;964;67,9;73,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;8;8;Län;Kalmar län;Alla;Totalt;%;70,5;679;963;67,6;73,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;8;8;Län;Kalmar län;Alla;Totalt;%;71,5;684;957;68,6;74,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;8;8;Län;Kalmar län;Alla;Totalt;%;69;663;961;66;72;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;9;9;Län;Gotland;Alla;Totalt;%;67,2;657;978;64,2;70,2;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;9;9;Län;Gotland;Alla;Totalt;%;68,6;665;969;65,7;71,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;9;9;Län;Gotland;Alla;Totalt;%;63,8;612;959;60,7;66,9;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;9;9;Län;Gotland;Alla;Totalt;%;67,7;651;962;64,7;70,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;9;9;Län;Gotland;Alla;Totalt;%;66,6;633;951;63,5;69,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;10;10;Län;Blekinge;Alla;Totalt;%;63,1;620;977;60;66,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;10;10;Län;Blekinge;Alla;Totalt;%;69,5;659;961;66,5;72,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;10;10;Län;Blekinge;Alla;Totalt;%;66,6;627;954;63,6;69,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;10;10;Län;Blekinge;Alla;Totalt;%;65,2;627;964;62,2;68,3;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;10;10;Län;Blekinge;Alla;Totalt;%;65,4;620;948;62,3;68,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;12;12;Län;Skåne;Alla;Totalt;%;59,9;3623;5858;58,6;61,2;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;12;12;Län;Skåne;Alla;Totalt;%;61,7;3721;5803;60,4;63;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;12;12;Län;Skåne;Alla;Totalt;%;61,6;3640;5756;60,3;62,9;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;12;12;Län;Skåne;Alla;Totalt;%;65,5;3836;5762;64,2;66,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;12;12;Län;Skåne;Alla;Totalt;%;63,6;3721;5691;62,3;64,9;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;13;13;Län;Halland;Alla;Totalt;%;72,4;1032;1472;70,1;74,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;13;13;Län;Halland;Alla;Totalt;%;72,4;1039;1450;70;74,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;13;13;Län;Halland;Alla;Totalt;%;70,7;985;1445;68,4;73,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;13;13;Län;Halland;Alla;Totalt;%;74,2;1052;1437;71,9;76,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;13;13;Län;Halland;Alla;Totalt;%;74,8;720;961;72;77,6;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;14;14;Län;Västra Götaland;Alla;Totalt;%;62,2;4819;7924;61;63,3;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;14;14;Län;Västra Götaland;Alla;Totalt;%;64,5;4638;7322;63,4;65,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;14;14;Län;Västra Götaland;Alla;Totalt;%;63,5;4519;7227;62,4;64,7;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;14;14;Län;Västra Götaland;Alla;Totalt;%;65,7;4665;7198;64,5;66,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;14;14;Län;Västra Götaland;Alla;Totalt;%;64,1;4541;7219;62,9;65,3;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;17;17;Län;Värmland;Alla;Totalt;%;58,1;565;972;55;61,3;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;17;17;Län;Värmland;Alla;Totalt;%;60,4;577;956;57,2;63,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;17;17;Län;Värmland;Alla;Totalt;%;60,8;583;959;57,7;63,9;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;17;17;Län;Värmland;Alla;Totalt;%;66,1;634;959;63,1;69,2;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;17;17;Län;Värmland;Alla;Totalt;%;64,1;626;977;61;67,1;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;18;18;Län;Örebro län;Alla;Totalt;%;60,1;581;966;57;63,3;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;18;18;Län;Örebro län;Alla;Totalt;%;60,1;588;978;57;63,2;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2013;18;18;Län;Örebro län;Alla;Totalt;%;61,2;589;962;58,1;64,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2012;18;18;Län;Örebro län;Alla;Totalt;%;62,4;594;952;59,3;65,5;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2011;18;18;Län;Örebro län;Alla;Totalt;%;60,3;573;951;57,1;63,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2015;19;19;Län;Västmanland;Alla;Totalt;%;64,3;623;969;61,2;67,4;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
2019-03-27 13:24:46;Vårdbarometern, Sveriges Kommuner och Landsting;Stort förtroende för vårdcentraler;Andel invånare som har stort eller mycket stort förtroende för vårdcentraler.;fa71c2b4-a471-4950-8ac7-c1195b31f76a;2014;19;19;Län;Västmanland;Alla;Totalt;%;62,7;610;973;59,6;65,8;0;-;Högt;-;-;Patientfokuserad hälso- och sjukvård
