Huvud_ID;Område ;Indikatornamn;Landsting och regioner;landstingskod;Mätperiod;Värde;Täljare;Nämnare;Konfidensintervall låg gräns;Konfidensintervall hög gräns;Avvikelse riket procent ;Avvikelse riket procent ;;Måttenhet ;Önskad riktning värde ;Målnivå/er SoS/Kval reg;Källa;Kommentar 
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Norrbotten;25;2017;100,0;198;198;;;2,0;2,0;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Kontaktsjuksköterska vid nydiagnostiserad bröstcancer;Riket;46;2017;98,0;8 249;8 415;;;0,0;0,0;;Andel (%);Högt ;100/95/80;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Stockholms län;01;2017;98,8;1 959;1 982;;;0,3;0,3;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Uppsala län;03;2017;99,7;303;304;;;1,2;1,2;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Sörmland;04;2017;100,0;258;258;;;1,5;1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Östergötland;05;2017;91,1;317;348;;;-7,5;-7,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Jönköpings län;06;2017;97,7;304;311;;;-0,8;-0,8;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Kronoberg;07;2017;98,8;166;168;;;0,3;0,3;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Kalmar län;08;2017;99,5;210;211;;;1,0;1,0;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Gotland;09;2017;97,1;67;69;;;-1,4;-1,4;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Blekinge;10;2017;100,0;142;142;;;1,5;1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Skåne;12;2017;99,5;1 102;1 108;;;1,0;1,0;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Halland;13;2017;98,3;296;301;;;-0,2;-0,2;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Västra Götaland;14;2017;98,2;1 389;1 415;;;-0,3;-0,3;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Värmland;17;2017;99,5;218;219;;;1,1;1,1;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Örebro län;18;2017;94,7;250;264;;;-3,9;-3,9;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Västmanland;19;2017;100,0;190;190;;;1,5;1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Dalarna;20;2017;98,5;193;196;;;0,0;0,0;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Gävleborg;21;2017;100,0;287;287;;;1,5;1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Västernorrland;22;2017;100,0;213;213;;;1,5;1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Jämtland Härjedalen;23;2017;97,1;132;136;;;-1,5;-1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Västerbotten;24;2017;99,0;198;200;;;0,5;0,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Norrbotten;25;2017;100,0;198;198;;;1,5;1,5;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens inför behandlingstart vid bröstcancer;Riket;46;2017;98,5;8 392;8 520;;;0,0;0,0;;Andel (%);Högt ;100/99/90;Nationellt kvalitetsregister för bröstcancer;
;Cancer;Multidisciplinär konferens vid lungcancer;Stockholms län;01;2017;94,4;621;658;;;25,0;25,0;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Uppsala län;03;2017;72,3;136;188;;;-4,2;-4,2;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Sörmland;04;2017;94,7;107;113;;;25,4;25,4;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Östergötland;05;2017;76,3;122;160;;;1,0;1,0;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Jönköpings län;06;2017;72,4;42;58;;;-4,1;-4,1;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Kronoberg;07;2017;44,1;15;34;;;-41,6;-41,6;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Kalmar län;08;2017;57,1;36;63;;;-24,3;-24,3;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Gotland;09;2017;;;;;;;;;Andel (%);Högt ;74;Nationella lungcancerregistret;Visas inte pga för få fall 
;Cancer;Multidisciplinär konferens vid lungcancer;Blekinge;10;2017;38,2;29;76;;;-49,5;-49,5;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Skåne;12;2017;74,8;305;408;;;-1,0;-1,0;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Halland;13;2017;91,4;106;116;;;21,0;21,0;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Västra Götaland;14;2017;60,0;392;653;;;-20,5;-20,5;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Värmland;17;2017;89,2;74;83;;;18,1;18,1;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Örebro län;18;2017;91,2;104;114;;;20,8;20,8;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Västmanland;19;2017;91,4;106;116;;;21,0;21,0;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Dalarna;20;2017;31,5;39;124;;;-58,4;-58,4;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Gävleborg;21;2017;84,5;87;103;;;11,8;11,8;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Västernorrland;22;2017;44,4;36;81;;;-41,2;-41,2;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Jämtland Härjedalen;23;2017;69,6;39;56;;;-7,8;-7,8;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Västerbotten;24;2017;89,4;76;85;;;18,4;18,4;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Norrbotten;25;2017;85,5;94;110;;;13,2;13,2;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid lungcancer;Riket;46;2017;75,5;2570;3403;;;0,0;0,0;;Andel (%);Högt ;74;Nationella lungcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Stockholms län;01;2017;96,0;626;652;;;3,3;3,3;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Uppsala län;03;2017;89,1;98;110;;;-4,2;-4,2;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Sörmland;04;2017;93,5;87;93;;;0,6;0,6;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Östergötland;05;2017;81,4;153;188;;;-12,5;-12,5;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Jönköpings län;06;2017;94,2;131;139;;;1,4;1,4;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Kronoberg;07;2017;96,5;82;85;;;3,8;3,8;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Kalmar län;08;2017;94,0;126;134;;;1,1;1,1;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Gotland;09;2017;100,0;32;32;;;7,5;7,5;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Blekinge;10;2017;94,5;86;91;;;1,6;1,6;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Skåne;12;2017;93,8;436;465;;;0,8;0,8;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Halland;13;2017;94,0;141;150;;;1,1;1,1;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Västra Götaland;14;2017;92,0;572;622;;;-1,1;-1,1;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Värmland;17;2017;92,4;122;132;;;-0,6;-0,6;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Örebro län;18;2017;92,4;121;131;;;-0,7;-0,7;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Västmanland;19;2017;93,6;103;110;;;0,7;0,7;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Dalarna;20;2017;91,6;109;119;;;-1,5;-1,5;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Gävleborg;21;2017;94,8;109;115;;;1,9;1,9;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Västernorrland;22;2017;92,4;109;118;;;-0,7;-0,7;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Jämtland Härjedalen;23;2017;80,4;41;51;;;-13,5;-13,5;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Västerbotten;24;2017;95,1;116;122;;;2,3;2,3;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Norrbotten;25;2017;95,5;84;88;;;2,7;2,7;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid tjocktarmscancer;Riket;46;2017;93,0;3484;3747;;;0,0;0,0;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Stockholms län;01;2017;96,9;310;320;;;0,6;0,6;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Uppsala län;03;2017;94,2;49;52;;;-2,2;-2,2;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Sörmland;04;2017;98,4;60;61;;;2,1;2,1;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Östergötland;05;2017;96,0;95;99;;;-0,4;-0,4;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Jönköpings län;06;2017;94,1;64;68;;;-2,3;-2,3;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Kronoberg;07;2017;94,4;51;54;;;-2,0;-2,0;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
;Cancer;Multidisciplinär konferens vid ändtarmscancer;Kalmar län;08;2017;98,1;52;53;;;1,8;1,8;;Andel (%);Högt ;100;Svenska Kolorektalcancerregistret;
