Innehållsförteckning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Värden;Egen/annan produktion;Område;Därav;varav;Läkare/ Övrigt;Prestationsgrupp;Prestation;År;Blekinge;Dalarna;Gotland;Gävleborg;Halland;Jämtland Härjedalen;Jönköping;Kalmar;Kronoberg;Norrbotten;Skåne;Stockholm;Sörmland;Uppsala;Värmland;Västerbotten;Västernorrland;Västmanland;Västra Götaland;Örebro;Östergötland;Riket
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2009;146 479;333 036;54 505;302 028;298 841;138 380;316 976;250 082;183 631;281 793;1 008 889;1 564 037;234 897;241 850;302 831;230 147;210 047;161 308;1 465 113;245 481;364 354;8 334 705
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2010;153 699;322 676;51 199;306 510;301 887;153 355;293 035;249 416;174 957;291 837;979 313;1 522 255;229 551;255 863;286 668;228 921;202 818;140 388;1 407 491;245 912;390 770;8 188 521
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2011;158 153;307 201;53 854;283 268;242 858;170 578;288 215;248 750;187 855;289 342;986 872;1 549 572;231 811;232 844;280 072;232 356;187 421;139 332;1 412 987;257 706;380 365;8 121 412
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2012;148 389;285 587;53 738;270 800;235 302;171 501;289 284;253 889;177 239;283 921;966 396;1 580 042;225 093;230 819;268 105;221 811;181 003;142 919;1 391 126;263 095;368 998;8 009 057
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2013;144 351;272 644;52 730;265 916;233 324;128 139;289 987;257 000;172 375;278 657;917 165;1 596 034;224 550;237 555;260 187;224 555;181 509;139 348;1 359 092;256 319;364 690;7 856 127
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2014;141 552;266 754;52 980;262 807;235 143;127 405;293 541;253 000;167 315;281 428;914 339;1 615 364;217 195;227 564;245 243;217 312;169 959;129 811;1 280 343;263 475;368 573;7 731 103
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2015;139 195;252 052;52 374;249 845;232 839;125 570;300 071;248 777;164 013;270 264;923 125;1 607 681;229 564;214 117;246 701;203 286;166 465;129 181;1 200 664;267 184;368 017;7 590 985
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2016;136 223;248 260;52 564;248 688;220 432;138 298;300 473;256 754;165 171;258 504;913 573;1 489 914;230 031;214 445;239 630;206 041;171 623;137 546;1 173 898;269 694;351 459;7 423 221
;Besök per specialitet;Offentlig regi;Primärvård;Allmänläkarvård inkl. jourverksamhet;Allmänläkarvård inkl. jourverksamhet;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2017;134 552;241 889;52 796;241 025;205 930;140 667;291 632;255 542;156 662;236 749;887 202;1 386 505;241 905;209 561;224 692;210 802;161 455;139 630;1 142 705;269 236;331 410;7 162 547
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2008;2 476;3 326;650;2 180;1 435;878;5 916;719;1 334;555;6 016;14 116;2 401;3 169;1 268;2 299;;1 090;7 850;2 875;2 574;63 127
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2009;4 143;3 159;528;1 999;1 180;829;5 480;654;1 299;567;7 008;12 024;2 107;3 046;1 277;2 199;12;1 203;8 650;2 962;1 092;61 418
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2010;3 522;2 557;587;1 556;1 431;731;5 339;1 496;1 364;;7 611;11 576;1 907;2 918;1 400;2 084;1 309;733;11 495;2 996;1 426;64 038
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2011;2 588;2 615;507;1 493;1 706;638;4 751;1 815;1 304;;8 138;12 486;1 793;2 904;1 334;2 276;1 424;859;11 432;2 847;1 407;64 317
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2012;2 279;2 655;548;1 961;1 974;567;3 412;1 744;1 276;;7 704;12 907;1 589;3 098;1 380;2 169;1 405;1 019;11 526;2 825;1 608;63 646
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2013;2 182;2 052;463;1 951;1 991;600;3 703;2 448;1 346;1 028;8 293;13 456;1 535;3 055;1 260;2 234;1 151;1 118;11 570;2 895;1 766;66 097
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2014;2 292;2 111;507;2 037;2 049;683;4 702;2 214;1 831;1 334;10 002;13 647;1 718;2 958;1 242;1 925;1 146;1 025;11 447;2 791;1 750;69 411
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2015;2 937;2 107;684;2 088;1 926;755;4 855;2 189;2 802;1 241;9 734;14 417;1 753;3 330;1 268;1 693;1 214;1 206;11 026;3 756;1 652;72 633
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2016;2 156;2 246;797;2 278;1 968;667;4 111;1 380;3 082;1 447;11 485;14 625;2 008;3 413;1 174;1 786;1 262;968;11 619;3 046;3 252;74 770
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2017;1 916;2 211;882;2 961;1 769;491;3 481;1 526;3 095;1 630;15 245;13 773;1 998;3 077;1 129;1 371;1 105;1 507;12 298;2 211;3 386;77 062
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2008;35 833;56 973;10 240;48 520;64 276;23 279;78 001;40 024;41 453;38 923;259 065;328 828;63 816;74 250;52 556;45 309;37 237;28 534;315 860;41 591;74 323;1 758 891
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2009;29 642;64 164;9 541;49 179;44 578;24 610;76 880;51 266;40 826;36 917;251 804;304 678;64 100;65 552;75 437;41 689;37 996;31 219;304 814;49 755;65 291;1 719 938
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2010;25 196;58 868;9 880;46 793;46 282;26 271;76 223;43 283;39 072;44 386;254 033;305 978;67 963;63 504;54 886;50 247;26 545;25 821;276 687;50 454;77 192;1 669 564
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2011;31 155;60 419;9 443;41 010;56 947;26 101;72 037;42 305;36 295;52 429;258 241;306 111;63 101;56 198;54 015;46 765;33 813;23 530;260 633;48 536;77 024;1 656 108
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2012;28 389;54 473;8 153;38 978;59 358;25 676;59 277;31 703;37 138;49 578;274 423;293 369;60 590;52 839;53 692;47 275;29 071;23 878;256 479;48 624;76 151;1 609 114
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2013;29 153;43 704;9 198;42 399;58 008;24 478;62 544;47 583;36 478;39 062;294 386;296 984;59 719;53 209;47 856;46 563;27 428;23 665;258 157;45 660;77 478;1 623 712
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2014;29 123;49 822;8 539;41 867;58 271;25 978;64 082;44 527;35 252;43 636;307 111;295 024;60 109;50 275;44 971;47 311;27 265;23 306;255 391;44 203;78 862;1 634 925
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2015;29 123;52 087;9 475;42 523;55 407;23 993;69 378;45 255;37 716;42 957;296 530;292 433;60 611;50 176;42 974;45 637;25 475;26 480;239 401;45 615;79 482;1 612 728
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2016;31 314;56 729;10 086;41 323;56 882;25 035;70 286;48 719;40 476;42 219;238 461;284 958;63 428;58 001;46 163;47 126;28 973;25 963;236 825;44 812;74 945;1 572 724
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2017;29 042;52 778;9 740;41 610;56 514;24 457;67 150;44 193;37 600;41 098;193 259;279 034;62 213;55 892;44 713;45 043;28 861;24 833;235 639;45 663;70 223;1 489 555
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2008;;;;24;19;47;;;;1;14;28;;;4;6;;;138;;;281
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2009;;311;;35;3;26;;;1;1;12;10;;;30;4;;;136;;4;573
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2010;;;;11;1;10;;;;;11;11;;;41;4;1;;183;;11;284
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2011;17;;;;1;15;;2;;;2;4;1;;4;3;2;;194;;7;252
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2012;29;;1;;2;4;;10;;;3;6;2;;2;2;1;;159;;16;237
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2013;26;3;;;;3;;;;2;19;6;3;;1;2;1 134;;105;;8;1 312
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2014;24;5;;;2;2;;;;2;;42;1;;4;3;;;80;;3;168
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2015;;8;;;3;4;;;;1;10;35;1;;;1;11;;70;;3;147
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2016;;13;;;;5;;;158;7;5;4;4;1;;3;2;;63;;9;274
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2017;8;82;;;;4;;;;2;2;6;;4;;;4;;42;;8;162
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2008;9 426;14 148;2 252;8 238;13 983;6 575;21 230;6 114;8 972;8 226;51 038;58 773;12 432;13 024;9 830;9 776;10 613;5 150;67 932;8 941;14 684;361 357
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2009;6 920;15 293;2 334;8 812;8 702;6 871;21 046;6 012;9 226;7 592;48 920;54 054;12 545;11 594;11 945;8 481;9 907;4 430;68 360;7 697;7 723;338 464
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2010;5 882;13 624;2 393;8 926;9 401;7 101;21 242;6 804;8 923;7 877;48 037;53 618;11 087;11 265;12 105;8 314;7 161;4 365;60 111;9 931;10 254;328 421
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2011;5 273;14 404;2 650;9 673;12 177;7 234;22 107;7 385;8 495;7 676;47 050;53 786;10 472;10 233;11 850;8 632;6 234;4 185;57 209;10 592;12 246;329 563
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2012;6 655;13 755;1 806;9 484;11 783;6 260;20 044;6 227;8 238;6 910;43 760;51 237;9 749;9 674;11 732;8 389;9 674;4 162;54 386;10 551;11 441;315 917
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2013;6 991;13 334;2 302;9 697;11 277;5 760;21 080;7 722;8 323;6 991;46 456;52 558;9 645;9 433;10 766;8 286;9 240;4 869;51 302;11 051;11 687;318 770
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2014;6 986;13 796;1 920;9 913;11 243;6 110;22 004;7 547;8 390;7 187;47 423;52 981;9 610;8 956;10 820;8 407;8 849;4 523;48 982;12 137;11 290;319 074
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2015;6 986;13 098;2 265;9 704;9 660;4 666;19 825;8 052;8 825;7 086;48 058;52 537;9 503;8 914;11 342;8 219;8 229;4 994;47 624;10 890;10 999;311 476
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2016;6 815;14 418;2 245;9 886;9 530;4 862;17 937;8 310;9 177;6 991;41 239;50 932;9 757;9 992;13 120;7 928;8 066;4 671;47 042;12 438;13 883;309 239
;Besök per specialitet;Offentlig regi;Primärvård;Barnhälsovård;Barnhälsovård;Läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2017;5 711;14 623;2 259;9 484;10 112;4 751;18 579;8 407;8 028;6 884;33 476;50 008;11 047;9 927;12 871;8 550;8 020;5 467;45 184;11 626;13 671;298 685
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2008;;191;;9;3;23;110;;;64;6;;2;90;16;16;;;55;1 023;;1 608
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2009;;76;;33;2;;83;;;49;5;;;500;20;7;;;34;830;;1 639
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2010;;76;;19;5;;102;;;;4;;;297;1;12;3;;90;1 066;;1 675
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2011;;54;;4;7;;103;;;;3;40;1;228;3;3;231;;113;1 089;;1 879
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2012;;54;;5;8;;;;;;2;30;;265;13;8;115;;78;1 050;;1 628
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2013;;19;;10;1;80;;;;23;3;36;;600;26;2;57;;84;630;;1 571
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2014;;9;;;5;95;;;;191;;22;;645;39;;53;;95;526;;1 680
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2015;;4;;;7;60;;;;47;1;5;;744;;6;24;59;49;726;;1 732
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2016;;4;;41;;;;;;26;3;13;;699;;8;16;68;22;447;;1 347
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2017;;6;;33;;8;;;;39;;8;;428;;;15;55;34;347;;973
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2008;17 140;34 000;6 679;30 300;50 277;29 916;66 492;59 672;32 788;30 849;235 699;255 406;25 579;67 433;52 581;36 529;9 435;26 726;345 745;58 489;88 642;1 560 377
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2009;23 555;39 060;5 900;30 904;36 062;15 159;67 143;55 055;34 716;28 314;204 523;252 936;24 757;63 906;75 001;29 046;46 546;26 322;335 866;60 884;89 725;1 545 380
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2010;28 557;58 073;4 928;22 372;41 950;15 785;68 110;49 064;34 732;30 964;247 500;251 932;27 886;62 447;56 866;40 156;31 018;13 430;369 511;66 657;74 194;1 596 132
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2011;28 731;57 965;3 970;15 219;65 731;13 718;67 085;49 267;34 605;24 348;228 863;229 069;27 057;55 402;56 195;35 556;36 880;18 196;376 772;51 888;72 657;1 549 174
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2012;28 765;55 689;7 572;16 828;68 782;13 160;63 747;50 463;41 553;23 682;196 130;228 790;;54 587;49 441;28 183;34 202;23 535;374 896;53 297;75 573;1 488 875
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2013;29 607;41 028;8 910;15 935;73 054;12 416;58 088;45 499;39 830;23 184;187 456;258 239;23 144;55 457;51 615;25 423;33 360;22 850;310 282;54 808;84 590;1 454 775
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2014;30 105;39 199;8 334;34 452;72 152;12 472;57 907;45 603;36 292;28 697;193 194;255 058;46 223;52 383;58 190;24 510;32 419;22 118;346 736;51 237;84 879;1 532 160
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2015;28 898;65 058;8 971;29 231;72 982;12 889;65 074;50 151;41 798;28 312;192 234;254 459;47 700;54 661;59 865;22 780;19 963;22 106;303 635;67 093;85 071;1 532 931
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2016;29 500;65 471;9 130;33 778;62 177;10 626;58 344;47 564;44 033;28 024;179 921;244 553;51 189;31 456;61 378;22 197;19 385;20 264;301 502;68 924;84 508;1 473 924
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Ej läkare;Mottagningsbesök (och hembesök);Mottagningsbesök (primärvård);2017;28 670;44 051;8 769;33 613;60 613;11 323;56 653;48 098;42 798;25 304;172 839;237 596;;25 845;60 561;22 373;18 911;26 042;320 533;66 912;85 872;1 397 376
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2008;;;;3;;;;;;;;;;;;;;;;;;3
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2009;;;;4;1;;;;;;;;;;;;;;;;;5
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2010;;;;4;1;;;;;;;;;;;;;;;;;5
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2011;;;;;;;;;;;;11;;;;2;;;;;;13
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2012;;;;1;3;;;;;;;2;;;;;;;;;;6
;Besök per specialitet;Offentlig regi;Primärvård;Mödrahälsovård;Mödrahälsovård;Läkare;Mottagningsbesök (och hembesök);Hembesök (primärvård);2013;;;;3;;;;;;;4;4;;;;;;;;;;11
